name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,class
jonathan-taylor,22,1,17,2.3529411764705883,1.813062942049699,3.0,2.14201664188625,21.176470588235293,29.007575671999586,7.717647058823529,9.263923402997728,13.941176470588236,18.089550406520186,0.11764705882352941,0.32218973970892123,19.529411764705884,6.362737544936452,106.52941176470588,42.32940522512457,5.541176470588234,1.8301587277769467,33.705882352941174,21.988672768127827,1.0588235294117647,0.9982683969692436,9.8,0
austin-ekeler,26,4,16,4.375,2.027159342528357,5.875,2.8695600708122493,40.4375,19.915348195550084,8.78125,3.7040887458995906,16.125,9.299697575727933,0.5,0.6123724356957945,12.875,3.059309562630104,56.9375,21.358454853991663,4.3875,1.4662345480856736,14.0625,5.53927736713012,0.75,0.6614378277661477,13.9,0
najee-harris-rb,23,0,17,4.352941176470588,2.785280141588639,5.529411764705882,3.648007466756154,27.470588235294116,21.79616168869789,6.105882352941176,2.08057418212753,11.882352941176471,5.879999529223435,0.17647058823529413,0.3812200410828153,18.058823529411764,6.101789402301148,70.58823529411765,41.88929222090254,3.676470588235294,1.1834791241801617,15.411764705882353,7.227877595316067,0.4117647058823529,0.4921529567847503,14.2,0
joe-mixon,24,4,16,2.625,2.2603926650031405,3.0,2.3717082451262845,19.625,24.949636770903098,4.575,4.713743204715335,12.3125,16.928964639043937,0.1875,0.3903123748998999,18.25,5.868347297152751,75.3125,35.05124596572852,4.0375,0.9286246550679129,16.75,6.514407110397691,0.8125,0.7261843774138906,8.6,0
james-conner,26,4,15,2.466666666666667,2.5785439474418292,2.6,2.6783079235467557,25.0,27.978563222581677,7.1866666666666665,5.9595152673872915,12.466666666666667,12.049158569054613,0.2,0.4,13.466666666666667,4.937835783237655,50.13333333333333,19.97954509547758,3.833333333333333,0.9775252199076788,14.533333333333333,7.246761728907303,1.0,0.816496580927726,6.6,0
leonard-fournette,26,4,14,4.928571428571429,1.8308579454251854,6.0,1.6903085094570331,32.42857142857143,12.14033587270306,6.957142857142857,2.9772264863494025,13.714285714285714,4.147780325987993,0.14285714285714285,0.3499271061118826,12.857142857142858,4.940461847368739,58.0,30.168573999161065,4.264285714285713,1.1049286614704028,15.214285714285714,10.99466475438085,0.5714285714285714,0.9035079029052513,11.5,0
ezekiel-elliott,25,5,17,2.764705882352941,1.9259653580876352,3.823529411764706,2.2812611093723905,16.88235294117647,13.10986316140358,6.170588235294118,4.280841685502067,9.588235294117647,6.417428690952492,0.11764705882352941,0.32218973970892123,13.941176470588236,3.9178413659639317,58.94117647058823,32.34459785467464,4.017647058823529,1.248639397913089,14.411764705882353,9.665334196038296,0.5882352941176471,0.6910200073218077,10.0,1
alvin-kamara,25,4,13,3.6153846153846154,2.2715112400359074,5.153846153846154,2.6266724736867495,33.76923076923077,33.45985849009997,7.546153846153846,4.105084161905984,13.23076923076923,8.979925013853839,0.38461538461538464,0.48650425541051995,18.46153846153846,6.558791922243755,69.07692307692308,40.033565798371555,3.423076923076923,1.224841494394492,15.692307692307692,7.042558706613291,0.3076923076923077,0.46153846153846156,13.3,0
cordarrelle-patterson,30,8,16,3.25,1.984313483298443,4.3125,2.2836032383056386,34.25,36.15159055975269,8.3875,6.347132718795157,16.875,16.297526652839075,0.3125,0.7680128579652817,9.5625,3.8563057127255873,38.625,27.071375565345768,3.9562500000000003,1.9579864497743593,13.0625,8.605730285687555,0.375,0.5994789404140899,12.0,0
antonio-gibson,23,1,16,2.625,1.79843682124227,3.25,1.9525624189766635,18.375,18.27181914862338,9.20625,16.79838045579097,13.125,16.335831016510912,0.1875,0.3903123748998999,16.125,6.213644260818284,64.8125,32.776170364305834,4.0375000000000005,1.2092740590949598,15.125,6.243746871871088,0.4375,0.7043392293490403,9.5,0
