name,MISC_FPTS
patrick-mahomes,417.0
matt-ryan,355.0
ben-roethlisberger,342.0
deshaun-watson,331.9
andrew-luck,328.1
aaron-rodgers,312.5
jared-goff,310.3
drew-brees,304.8
russell-wilson,299.4
dak-prescott,285.8
philip-rivers,284.9
kirk-cousins,283.1
cam-newton,282.6
tom-brady,281.4
mitch-trubisky,262.9
baker-mayfield,240.0
eli-manning,240.0
derek-carr,216.8
case-keenum,215.0
matthew-stafford,212.1
josh-allen-qb,208.1
jameis-winston,195.8
carson-wentz,193.4
marcus-mariota,176.0
andy-dalton,174.5
blake-bortles,173.2
sam-darnold,168.4
ryan-fitzpatrick,165.8
lamar-jackson,157.6
ryan-tannehill,143.0
alex-smith,137.9
joe-flacco,137.0
nick-mullens,123.5
josh-rosen,113.0
jeff-driskel,85.1
nick-foles,76.2
cj-beathard,75.0
brock-osweiler,68.0
josh-johnson,49.5
jimmy-garoppolo,47.9
tyrod-taylor,41.4
cody-kessler,38.6
blaine-gabbert,33.0
chase-daniel,30.7
colt-mccoy,27.2
kyle-allen,26.5
josh-mccown,20.7
matt-barkley,17.1
taylor-heinicke,13.9
nathan-peterman,12.8
sam-bradford,12.7
mike-glennon,10.9
teddy-bridgewater,7.2
derek-anderson,6.5
deshone-kizer,5.4
nate-sudfeld,4.7
joe-webb-iii,3.3
matt-cassel,1.7
garrett-gilbert,1.6
chad-henne,1.5
matt-schaub,1.1
joshua-dobbs,0.9
robert-griffin-iii,0.8
mark-sanchez,0.3
aj-mccarron,0.1
alex-tanney,0.0
tyler-bray,0.0
kyle-sloter,0.0
sean-mannion,0.0
cooper-rush,0.0
brandon-allen,0.0
brandon-weeden,-0.1
chad-kelly,-0.1
brian-hoyer,-0.5
jacoby-brissett,-0.6
geno-smith,-1.5
kyle-lauletta,-2.2
